Speedup				
				
	C++	Go	PyPy 3.11.11	Python
Time	1	1	1	1
power sum	1	1	1	1
				
				
				
	C++	Go	PyPy 3.11.11	Python
Time	1.945646974	2.538053207	1.717169848	1.966219963
power sum	1.507304763	1.565922217	1.224855557	1.557213926
				
				
				
	C++	Go	PyPy 3.11.11	Python
Time	3.655656668	4.865410816	3.02089183	3.788270278
power sum	2.242327612	2.51216421	1.728929021	2.425306233
				
				
				
	C++	Go	PyPy 3.11.11	Python
Time	6.610738645	9.331069679	5.420981145	7.348116911
power sum	2.796316665	3.7060202	2.169853226	3.280598124
				
				
				
	C++	Go	PyPy 3.11.11	Python
Time	7.1187961	12.49384497	5.338031207	7.142557627
power sum	2.920958049	4.430729033	1.924538378	3.022507745
				
				
				
	C++	Go	PyPy 3.11.11	Python
Time	7.364144843	13.80297016	5.297047365	6.998465036
power sum	2.977358037	4.702083667	1.824201658	2.903193084
				
				
				
	C++	Go	PyPy 3.11.11	Python
Time	7.681150623	14.80688794	5.150413498	6.899487996
power sum	3.082991294	4.913829636	1.730774156	2.765595611
